artist_name;song_title
Taylor Swift;'tis the damn season
Taylor Swift;...Ready For It?
Taylor Swift;...Ready For It? (Bloodpop® Remix)
Taylor Swift;22
Taylor Swift;A Perfectly Good Heart
Taylor Swift;A Place In This World
Taylor Swift;Afterglow
Taylor Swift;Ain't Nothing 'Bout You
Taylor Swift;All Because Of Ellen
Taylor Swift;All Night Diner
Taylor Swift;All Too Well
Taylor Swift;All You Had To Do Was Stay
Taylor Swift;Am I Ready For Love
Taylor Swift;American Boy
Taylor Swift;American Girl
Taylor Swift;Angelina
Taylor Swift;august
Taylor Swift;Baby, Don't You Break My Heart Slow
Taylor Swift;Back To December
Taylor Swift;Back To December / Apologize / You're Not Sorry
Taylor Swift;Bad Blood
Taylor Swift;Bad Blood (Remix)
Taylor Swift;Beautiful Eyes
Taylor Swift;Beautiful Ghosts
Taylor Swift;Begin Again
Taylor Swift;Being With My Baby
Taylor Swift;Bette Davis Eyes
Taylor Swift;Better Off
Taylor Swift;Better Than Revenge
Taylor Swift;betty
Taylor Swift;Blank Space
Taylor Swift;Brand New World
Taylor Swift;Breathe
Taylor Swift;Breathless
Taylor Swift;Brought Up That Way
Taylor Swift;By The Way
Taylor Swift;Call It What You Want
Taylor Swift;Can I Go With You
Taylor Swift;Can't Stop Loving You
Taylor Swift;cardigan
Taylor Swift;champagne problems
Taylor Swift;Change
Taylor Swift;Check Out This View
Taylor Swift;Christmas Must Be Something More
Taylor Swift;Christmas Tree Farm
Taylor Swift;Christmases When You Were Mine
Taylor Swift;Clean
Taylor Swift;Closest To A Cowboy
Taylor Swift;closure
Taylor Swift;Cold As You
Taylor Swift;Come Back... Be Here
Taylor Swift;Come In With The Rain
Taylor Swift;coney island
Taylor Swift;Cornelia Street
Taylor Swift;cowboy like me
Taylor Swift;Crazier
Taylor Swift;Cross My Heart
Taylor Swift;Cruel Summer
Taylor Swift;Dancing With Our Hands Tied
Taylor Swift;Dark Blue Tennessee
Taylor Swift;Daylight
Taylor Swift;Dear John
Taylor Swift;Death By A Thousand Cuts
Taylor Swift;Delicate
Taylor Swift;Didn't They
Taylor Swift;Don't Blame Me
Taylor Swift;Don't Hate Me For Loving You
Taylor Swift;dorothea
Taylor Swift;Down Came The Rain
Taylor Swift;Dress
Taylor Swift;Drops Of Jupiter
Taylor Swift;Enchanted
Taylor Swift;End Game
Taylor Swift;epiphany
Taylor Swift;evermore
Taylor Swift;Everything Has Changed
Taylor Swift;exile
Taylor Swift;Eyes Open
Taylor Swift;Fall Back On You
Taylor Swift;False God
Taylor Swift;Fearless
Taylor Swift;Fifteen
Taylor Swift;Firefly
Taylor Swift;For You
Taylor Swift;Forever & Always
Taylor Swift;Forever & Always (Piano Version)
Taylor Swift;Getaway Car
Taylor Swift;Girl At Home
Taylor Swift;gold rush
Taylor Swift;Gorgeous
Taylor Swift;Gracie
Taylor Swift;happiness
Taylor Swift;Haunted
Taylor Swift;Hey Stephen
Taylor Swift;hoax
Taylor Swift;Holy Ground
Taylor Swift;Honey Baby
Taylor Swift;Hopelessly Devoted To You
Taylor Swift;How You Get The Girl
Taylor Swift;I Almost Do
Taylor Swift;I Did Something Bad
Taylor Swift;I Don't Wanna Live Forever
Taylor Swift;I Forgot That You Existed
Taylor Swift;I Heart ?
Taylor Swift;I Knew You Were Trouble
Taylor Swift;I Knew You Were Trouble (Remix)
Taylor Swift;I Know Places
Taylor Swift;I Know What I Want
Taylor Swift;I Think He Knows
Taylor Swift;I Used To Fly
Taylor Swift;I Want You Back
Taylor Swift;I Wish You Would
Taylor Swift;I Wished On A Plane
Taylor Swift;I'd Lie
Taylor Swift;I'm Only Me When I'm With You
Taylor Swift;If This Was A Movie
Taylor Swift;illicit affairs
Taylor Swift;In The Pouring Rain
Taylor Swift;Innocent
Taylor Swift;Invisible
Taylor Swift;invisible string
Taylor Swift;It's Nice To Have A Friend
Taylor Swift;it's time to go
Taylor Swift;ivy
Taylor Swift;Jump Then Fall
Taylor Swift;Just South Of Knowing Why
Taylor Swift;King Of My Heart
Taylor Swift;Last Christmas
Taylor Swift;Last Kiss
Taylor Swift;Let's Go (Battle)
Taylor Swift;Live For The Little Things
Taylor Swift;London Boy
Taylor Swift;Long Live
Taylor Swift;long story short
Taylor Swift;Long Time Coming
Taylor Swift;Look At You Like That
Taylor Swift;Look What You Made Me Do
Taylor Swift;Look What You Made Me Do
Taylor Swift;Love Story
Taylor Swift;Love They Haven't Thought Of Yet
Taylor Swift;Love To Lose
Taylor Swift;Lover
Taylor Swift;Lover (First Dance Remix)
Taylor Swift;Lover (Remix)
Taylor Swift;Lucky You
Taylor Swift;Macavity
Taylor Swift;mad woman
Taylor Swift;Made Up You
Taylor Swift;Making Up For Lost Love
Taylor Swift;Mandolin
Taylor Swift;marjorie
Taylor Swift;Mary's Song (Oh My My My)
Taylor Swift;Matches
Taylor Swift;Me And Britney
Taylor Swift;ME!
